Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
0,0.4967141530112327,-0.13826430117118466,0.6476885381006925,1.5230298564080254,-0.23415337472333597,-0.23413695694918055,1.5792128155073915,0.7674347291529088,-0.4694743859349521,0.5425600435859647,-0.46341769281246226,-0.46572975357025687,0.24196227156603412,-1.913280244657798,-1.7249178325130328,-0.5622875292409727,-1.0128311203344238,0.3142473325952739,-0.9080240755212109,-1.4123037013352915,1.465648768921554,-0.22577630048653566,0.06752820468792384,-1.4247481862134568,-0.5443827245251827,0.11092258970986608,-1.1509935774223028,0.37569801834567196,33.46,1
10,-0.6002538501059117,0.9474398210466388,0.2910340012621822,-0.6355597402746394,-1.0215521946755979,-0.16175538639752096,-0.5336488038424868,-0.005527862320126283,-0.22945045383195653,0.38934891325612325,-1.265119113922642,1.0919922643576712,2.7783130415524404,1.1936397242823173,0.21863831605386247,0.8817610389486106,-1.0090853428651076,-1.5832942135368875,0.7737004168336818,-0.5381416616629597,-1.3466780973613461,-0.8805912660471066,-1.1305523046815669,0.1344288826280219,0.5821227947130392,0.8877484595933572,0.8943323301087615,0.7549977972447358,37.95,0
20,-0.8392175232226385,-0.3092123758512146,0.33126343140356396,0.9755451271223592,-0.47917423784528995,-0.18565897666381712,-1.1063349740060282,-1.1962066240806708,0.812525822394198,1.356240028570823,-0.07201012158033385,1.0035328978920242,0.36163602504763415,-0.6451197546051243,0.36139560550841393,1.5380365664659692,-0.03582603910995154,1.5646436558140062,-2.6197451040897444,0.8219025043752238,0.08704706823817122,-0.29900735046586746,0.0917607765355023,-1.9875689146008928,-0.21967188783751193,0.3571125715117464,1.477894044741516,-0.5182702182736474,115.17,0
30,-0.21216142171162652,-0.42686879403972283,0.5014483315248052,1.1581866529320277,0.25711687005627937,0.3145128958631717,1.3718621335497765,0.17555329395483268,-0.30928854644457765,0.6731255027739751,-0.2566301826925544,-0.36782572413276127,1.273733620139556,-0.2919526708256201,-2.65517604756347,0.3455179438887663,-0.39551645158029325,-0.289136856469942,0.45293632653350946,-0.16606090835106535,0.214938830094755,-2.022314933195735,-0.9430568084672624,1.4039587386592935,-0.018550804511640224,-1.6735046219902232,-1.0725318344356576,-0.9925861794031905,19.41,0
40,0.06023020994102644,2.463242112485286,-0.19236096478112252,0.30154734233361247,-0.03471176970524331,-1.168678037619532,1.1428228145150205,0.7519330326867741,0.7910319470430469,-0.9093874547947389,1.4027943109360992,-1.4018510627922809,0.5868570938002703,2.1904556258099785,-0.9905363251306883,-0.5662977296027719,0.09965136508764122,-0.5034756541161992,-1.5506634310661327,0.06856297480602733,-1.0623037137261049,0.4735924306351816,-0.9194242342338032,1.5499344050175394,-0.7832532923362371,-0.3220615162056756,0.8135172173696698,-1.2308643164339552,408.79,0
50,1.3638865244171052,2.5391627162693324,-0.32449095782889326,-0.20586671709550497,-1.440041447683798,1.1907272561136402,1.2993968142644874,-0.8671461560495533,0.617640845511145,1.2170707969801102,0.22628826949887482,0.8474014325766388,0.17483301199147133,-1.216854892359239,1.0493473923208656,1.325105661514201,0.7345010648800456,-0.9544972619614205,-0.7511794246639284,-1.1304280531205302,0.7699773599307934,1.268389522403902,0.4244862440564507,0.9405355849620096,-0.8676410899793746,0.14586185242830943,-1.3698710567162966,-0.7717807494932586,122.75,0
60,-0.0771017094141042,0.3411519748166439,0.27669079933001905,0.8271832490360238,0.01300189187790702,1.4535340771573169,-0.2646568332379561,2.720169166589619,0.6256673477650062,-0.8571575564162826,-1.0708924980611123,0.4824724152431853,-0.2234627853258509,0.714000494092092,0.47323762457354485,-0.07282891265687277,-0.846793718068405,-1.5148472246858646,-0.4465149520670211,0.8563987943234723,0.21409374413020396,-1.245738778711988,0.173180925851182,0.3853173797288368,-0.883857436201133,0.1537251059455279,0.058208718445999896,-1.142970297830623,438.81,0
70,0.8724471576604531,1.0661985440977382,-0.9590080964267789,1.3820046041719432,0.9051219599565592,-0.6039043724845287,0.30444911987085255,0.2572074909801068,0.02393181446583695,0.8719139888123928,1.4373563283335271,0.007306372740632225,1.3308813279720855,0.9882026105041117,0.23229615817640498,0.17618092205232136,-1.152565371660015,-1.500768393207174,0.16502279810933854,-0.8559289178293682,-0.03963614203961917,-0.5346627418500639,-1.7884965049804966,0.3573045419366339,-0.4145318053898915,0.08019871254081459,-0.8931202736292231,-0.33481724739473373,261.6,0
80,-0.7153037092599682,0.6795977489346758,-0.7303666317171367,0.21645858958197486,0.045571839903813784,-0.6516003476058171,2.1439440893253257,0.6339190223180112,-2.025142586657607,0.18645431476942764,-0.661786464768388,0.852433334796224,-0.7925207384327007,-0.11473644146689901,0.5049872789804571,0.8657551941701215,-1.2002964070557762,-0.3345012358409484,-0.4749453111609562,-0.6533292325737119,1.7654542402810969,0.40498171096095553,-1.2608839543350452,0.9178619470547761,2.1221561970126332,1.0324652605511468,-1.5193699659540134,-0.48423407286625136,178.63,0
90,-0.237391961206669,1.8720056804723042,-0.019442140899548193,-0.9325916565610811,-1.2949424744798599,-0.10511850474641372,-1.9949615715576492,-1.3001928415934398,1.5430676518590838,1.3232638071512366,-0.1284121465397082,-0.4656647712545464,0.05850890230684416,2.3479969284503226,0.4049755087705251,0.9097381749598169,-0.20245752583155116,0.060896607117160384,0.6471626967870439,0.12609482782402903,-1.8973769824886577,1.2805407616774638,-0.6151336777713305,2.111317641616252,0.6868485127659709,0.07097241563974602,0.4393271401034342,-0.10849788856351314,452.77,0
